current_location,current_work,previous_work,latest_Education,majro,search_school,major
San Francisco Bay Area,Chief Customer Officer at Greenhouse Software,Customer Success Executive at Greenhouse Software,1983–1987,Cognitive Science - the Study of Artificial and Human Intelligence,Brown University,
"Mumbai, Maharashtra, India",EVP and Group-CIO  at JSW,Group Head - Corporate Management Services  ( Global CIO and Global Supply Chain Head) at Apollo Tyres Ltd.,Brown University,Senior Leadership Development program,Brown University,
New York City Metropolitan Area,CTO at M3 USA Corporation,"Global CTO at M3, Inc.",Education (same page),Computer Science,Brown University,
Washington DC-Baltimore Area,Chief Digital Officer (CDO) at Jump Shift Digital,Chief Digital Officer at DIA,1973–1978,Biology / English,Brown University,
"Walnut, California, United States",CTO at Massive,CEO at Rocketship,Brown University,,Brown University,
"Santa Monica, California, United States",Founder | Head of Retail Strategy & Creative at Whereabout Studio,Marketing Strategist - Retail & Brand Experience | U.S. & Canada at Uber,Brown University,Visual Arts,Brown University,
"Portland, Oregon, United States",Co-Founder at LAGO APPAREL,Director - Strategy & Operations at Nike,London Business School,General Management,Brown University,
"San Francisco, California, United States",Senior Director of Operations at Eaze,General Manager at Eaze,Brown University,Economics,Brown University,
"Basking Ridge, New Jersey, United States",Chief Operating Officer at Heller Industries,Adjunct Assistant Professor of Physics at Brown University,University of Pennsylvania - The Wharton School,Condensed Matter Physics,Brown University,
"Los Angeles, California, United States","Co-Founder, Creative + Product Development at Homecourt","Chief Creative Officer at Nécessaire, Inc.",Brown University,Urban Studies/Affairs,Brown University,
"Los Angeles, California, United States",Co-Founder / CEO at Fishwife,Artist Community Manager at The Rattle Collective,Brown University,History,Brown University,
"Kansas City, Missouri, United States","Chief Product Officer at GCOM Software, LLC",Strategy and Solutions at DynTek,Brown University,"Business Administration and Management, General",Brown University,
United States,Chief Strategy Officer at ImmunityBio,"Chief Medical Officer at Apollomics,Inc.","Memorial Sloan-Kettering Cancer Center, Medical Oncology/Hematology Fellowship",Medicine,Brown University,
"Philadelphia, Pennsylvania, United States",CEO and Founder at Balance to Bloom,Director of Women's Services at Mercy Philadelphia Hospital,State University of New York Upstate Medical University,Medicine,Brown University,
"Boston, Massachusetts, United States","Founder, President and CEO at Till Financial",President and CEO at Digital Lumens,1981–1986,Neuroscience,Brown University,
Greater Phoenix Area,"President at Naumann Hobbs Material Handling, INC",Senior Vice President - RTS at McKinsey & Company,Brown University,Organizational Behavior and Management,Brown University,
New York City Metropolitan Area,"Associate Director, IT Collaboration Solutions at Biogen","Sr Manager,  IT Collaboration Solutions at Biogen",Apr 2010–May 2012,Management and Leadership,Brown University,
Budapest Metropolitan Area,Managing Director at DHL Express Hungary,Vice President Marketing & Sales Central Europe at DHL Express,Brown University,,Brown University,
Greater Boston,COO | CFO at Vantage Deluxe World Travel,Consulting CFO/COO at Del Greco Consulting,1996–2000,Business Economics,Brown University,
"Atlanta, Georgia, United States","Director, Partnership Marketing at Delta Vacations, a division of Delta Air Lines at Delta Air Lines","Senior Manager, Marketing & E-Commerce at The Ritz-Carlton Hotel Company LLC",Brown University,Masters Business Administration,Brown University,
"San Francisco, California, United States",Cofounder at Lightstep,"Mentor, Advisor at Code for America",Brown University,Mathematics and Computer Science,Brown University,
New York City Metropolitan Area,President at Sakara Life,Consultant at Bain & Company,Harvard Business School,"International Relations, Economics",Brown University,
"Hong Kong, Hong Kong SAR",Chief Strategy and Proposition Officer at GOtyme,Senior Strategy and Business Development Manager at Commonwealth Bank,Harvard Business School,Applied Mathematics - Economics,Brown University,
"New York, New York, United States",VP Digital & Client Services at Christian Dior Couture,"VP E-commerce, Americas at Bottega Veneta",Massachusetts Institute of Technology,Big data,Brown University,
"New York, New York, United States",Leadership Communication Coach at Speak Global,Software Developer at Jane Street,Brown University,Computer Science,Brown University,
San Francisco Bay Area,Co-Founder & CEO at Nalu Bio,"Chief Business Officer at Bluestar Genomics, Inc - Precision Epigenomic Medicine",Brown University,,Brown University,
"Cambridge, Massachusetts, United States",Chief Scientific Officer at Arbor Biotechnologies,"Vice President, Biology, Rare Disease Research Unit at Pfizer",Columbia University in the City of New York,Biochemistry,Brown University,
"New York, New York, United States",Co-Founder and General Partner at MetaProp,Board Observer at Staircase,Columbia Business School,Ancient Studies,Brown University,
"London, England, United Kingdom",Co-Founder/CEO at Sellalong,Founder/Chair at Stuffstr,Stanford University Graduate School of Business,Economics & Music,Brown University,
"Waltham, Massachusetts, United States",Chief Commercial Officer at Adagio Therapeutics,Chief Commercial Officer at Entasis Therapeutics,Harvard Business School,Business,Brown University,
"New York, New York, United States",VP of Fashion Operations at Rent The Runway,Senior Director of Fashion Operations at Rent The Runway,Brown University,,Brown University,
"San Francisco, California, United States","Director of Product Design, Head of AI for Products & AR at Meta","Senior Director, Product Design & Research at Delivery Hero",Rhode Island School of Design,Graphic Design,Brown University,
San Francisco Bay Area,"Director, Sustainability & Strategic Sourcing at Simple Mills","Regenerative Agriculture and Responsible Sourcing Manager, Global Social Impact Team at General Mills",Brown University,"MSc in Agriculture, Food & Environment | Corporate Sustainability Track",Brown University,
"San Francisco, California, United States",Chief Financial Officer at Nomi Health,Department Head - Corporate Development at Sequoia Capital,Brown University,Computer Science,Brown University,
"New York, New York, United States",Co-Founder at Champ,Vice President Investment Banking at Bank of America Merrill Lynch,Columbia Business School,Finance,Brown University,
New York City Metropolitan Area,"Manager II, Marketplace Growth & Strategy  at Walmart eCommerce",Manager - Marketplace Growth & Strategy at Walmart eCommerce,Dartmouth College,Mathematics modified with Engineering Sciences Major; Hispanic Studies Minor,Brown University,
"Lambertville, New Jersey, United States",Director of Corporate Information Technology at Turtle & Hughes,"Owner at ELB Internet Services, Inc.",Brown University,Cyber Security,Brown University,
"Lambertville, New Jersey, United States",Director of Corporate Information Technology at Turtle & Hughes,"Owner at ELB Internet Services, Inc.",Brown University,,Brown University,
"San Diego, California, United States",General Manager at Propeller Health,"Vice President, Strategy at ResMed",+ 1 more,Healthcare Organizations & Management,Brown University,
"Seattle, Washington, United States",Founding Member at nFormation,"Director of People Function - Public Sector, Health Services & Pharmaceutical Practices  at McKinsey & Company",Harvard University Kennedy School of Government,Public Policy,Brown University,
"Boston, Massachusetts, United States","Head of Data Analytics and Insights, Global Corporate Affairs at Takeda",Global Head of Talent Strategy & Analytics at Wayfair,University of Southern California,Organizational Change and Leadership,Brown University,
"Irvine, California, United States",Chief Executive Officer at BeWell Network Drug Rehabs Los Angeles California | Alcohol Detox | Inpatient Drug Rehabs LA,Board Member at Nami Illinois,Harvard Business School,Data Analytics,Brown University,
"The Randstad, Netherlands",Founder at Axini B.V.,Researcher (PhD) at University of Twente,Universiteit Twente,Computer Science,Brown University,
"São Paulo, São Paulo, Brazil",Director at Nubank,Co-Founder at Edufuturo,IMD Business School,"Business Administration and Management, General",Brown University,
San Francisco Bay Area,Global Supply Chain - Danaher Business Systems at Cepheid,"Executive Director, Corporate Operations - Operational Excellence at Gilead Sciences",Massachusetts Institute of Technology - Sloan School of Management,"Operations Management, Technology Innovation",Brown University,
"New York, New York, United States",President at Credico,,Brown University,Business Economonics and Marketing,Brown University,
"San Francisco, California, United States","Director, Business Development & Corporate Innovation at Sapphire Ventures, LLC","Manager, Business Development & Customer Networks at Sapphire",Brown University,History,Brown University,
"Narragansett, Rhode Island, United States",Head of Business Development at Beacon,Cofounder at Middle Child Meadworks,Brown University,Business/Managerial Economics,Brown University,
"Los Altos, California, United States","Book Author at Truth from the Valley, A Practical Primer on IT Management for the Next Decade","Chief Information Officer at Okta, Inc.",+ 1 more,Geological Science,Brown University,
